,,,,,,
,,,,,,
,,,,,,
,Picture,UUID,Raw DAT💾,Object Name/Download💾,Type,Description (if available)
,,0C4CD3B3-97734755-BC8EE303-637B72DF,1876180734_DAT,Adilette camo,Male Feet,Get these official adidas shoes now![#Legal]
,,0C4EAF77-FCC64CEF-8A3F6ECE-D65FE4EE,4138580575_DAT,Spade Earrings (Male),Male JewelLeftEar,Spade shaped earrings. [#Legal]
,,0C4F49DE-40D945E6-8B33A923-55B960B6,3132221267_DAT,Brimstone Poker Shirt (male),Male Tors,Fabulous prize for owning the Brimstone Poker Table!
,,0C5712CB-2EDA4D75-918C964F-655C9050,3155179532_DAT,Uncharted 3: Drake's Deception™ Treasure #2,Furniture,"Treasure connoisseur, that's you! [#Legal]"
,,0C571DBD-E0EF403A-84DA464F-2894BB43,2389587325_DAT,BusStation,Other,バス停（砂浜）移動部分 [#Legal]
,,0C58CDDA-8E87429F-A93484C1-342E985C,2545734648_DAT,Plain Woman's Mask (Women),Female Hat,頬のふくらんだ、おたふく面の女性の顔をしたお面。[#Legal]
,,0C5E027D-7D594087-8A420052-93964294,3086762606_DAT,PlayStation®Plus Swag Bag (Male),Male Hands,E3® 2012 Reward! [#Legal]
,,0C65E2AE-094747AB-BD716EEC-C6AF501F,90025815_DAT,Rosie Big Daddy Outfit,Male Outfits,Bring out your inner rivet-gun wielding side with BioShock 2's Rosie Big Daddy outfit.[#Legal]
,,0C698826-72DD48A9-A530376B-8B522E50,1060796756_DAT,"Express Your Color – Shoes (Female, Turquoise)",Female Feet,Express yourself with these stylish shoes in various colors.\n\nBy Dani.[#Legal]
,,0C6B94FE-15474F8B-A5BC38E7-117E0EF6,2065280577_DAT,柴染の鎧：下（男性用）,Male Legs,デモンズソウルに登場する防具。重装の金属鎧の下半身部分。 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 古くからボーレタリア王家に蔵される、古い鎧の一部。 　 　 　 　 　 　 　 　 　 　 特に炎の類を寄せ付けず近来では、双剣のビヨールの装備として知られる。 　 　 　 　 凄まじく重く、スタミナの回復が大きく損なわれる。 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 　 [#Legal]
,,0C6BF302-9A154A21-94F7CA06-4BE778C6,2623913551_DAT,Locomotion - Picnic Sheet (Horizontal Stripes),Locomotion,"A sheet spread out on the ground that is indispensable for outings. When using it, your avatar will sit atop the sheet when you stop moving.\nOpen the menu with the R1 button to choose from 4 different sitting styles.\nLocomotion Speed: ★★★\n*Locomotion is a portable item.[#Legal]"
,,0C6D62B3-AAC847AE-B5EFA62C-2F8DA46E,3483506657_DAT,Crawling Ushi-Oni,Companion,A demon with the body of a spider that follows behind its master.[#Legal]
,,0C73E0C5-41D14C4B-B721C826-A61E2C60,3242707935_DAT,"Cowgirl Outfit Bottom (Black, F)",Female Legs,A pair of black leather trousers with the bottoms rolled up and stitched in place.[#Legal]
,,0C785E18-C68542F0-B358E9A1-A61F95DE,692314622_DAT,Jump to nDreams: Aurora,Minigame,Jump to nDreams: Aurora [#Legal]
,,0C7AC542-8BC94C36-87744346-31765AC2,1091040921_DAT,Half Cocked Prize 6,Male HeadPhones,Half Cocked Prize 6
,,0C7F8139-680541C6-8CA8DE5A-D7D05C5E,2212382050_DAT,Glow Eyebrow Spike - Yellow (for Male),Male JewelLeftEar,"Bright eyes, bright eyebrows! [#Legal]"
,,0C8BA5EE-749844B8-A6496CE6-CED017A4,4135325364_DAT,Killzone 2  - Helghast Pants Male,Male Legs,Killzone 2  - Helghast Pants Male
,,0C977B10-E0E14672-85BB8671-44143D77,900025867_DAT,"Black Shirt with Graphic Print, Rolled-up Sleeves and Black Tie",Male Tors,Untucked shirt with rolled up sleeves and tie - they look great paired with anything from smart trousers casual pants. [#Legal]
,,0C9C53D4-377F4618-AA857D3F-9B943329,155676780_DAT,Pinwheel (for Male),Male Hands,"Oooh, it spins!!! [#Legal]"
,,0C9C7A00-4C7D4751-B5696618-A5B0CDCD,870209211_DAT,Fantasy Adventurer Hair (Male),Male Hair,A hero is only as epic as his hair. [#Legal]
,,0C9F4450-797946DF-AA399699-534E9567,4090211517_DAT,Smoke Jumper Top (Male),Male Tors,Camouflage shirt with flak jacket. [#Legal]
,,0CA2E129-66A14C3B-BBDD3767-06A01C2B,1403069714_DAT,Stage 2 CD Collection,Furniture,A small collection of compact discs. [#Legal]
,,0CA4EA2C-6EB44992-84857D20-6830A8C5,735697451_DAT,Male fighter pilot top,Male Tors,Réservé aux as des as! [#Legal]
,,0CA57293-DB844558-B41465CD-4223843D,853844220_DAT,ドワーフトップス（男性）,Male Tors,male01_torso_dwarf_00
,,0CA613A0-4CF34247-BCB0E121-65E35026,2382089712_DAT,Billabong - Progress Tank - Red &amp; Orange,Male Tors,Tank top with red striped design. [#Legal]
,,0CA72C48-09F4489F-A3FAFDCC-E230A3CF,2329620260_DAT,They glow! Loco Earring R (Chavez/women's),Female JewelRightEar,They glow! Loco Earring R (Chavez/women's)
,,0CAB7F1D-C4EA4377-94AF307A-8A0BBB47,274652570_DAT,Female High Fashion Torso #2,Female Tors,Cette fourrure noire exige un port de tête irréprochable. [#Legal]
,,0CB00593-3B524BC3-AD6CFC00-6F37010B,4112381245_DAT,High Roller Prize 9,Male Legs,High Roller Prize 9 [#Legal]
,,0CB43203-3E144723-A45E7D2A-466BB5E8,1561417688_DAT,Undead Head,Female Hat,"You cannot think strait for the feelings you feel, is that of endless hunger for your next brain meal."
,,0CBE0D2F-76164483-8CB64094-8F09FF4C,1530104546_DAT,"Knit Cap, Large (Black, Men)",Male HeadPhones,Black knit cap that you can combine with your hairstyle of choice.\nSize: L\nCoolness: ★★[#Legal]
,,0CC5E28C-2A07417C-9BA9BD44-5AEB8F65,623733286_DAT,Evening Gown - Purple,Female Outfits,Catch everyone's eye at any event with this dress. It's elegant with a little bit of bling so that you'll shine in the spotlight.  [#Legal]
,,0CCF02D8-435D4D62-98BAEA19-A45055CD,1664255341_DAT,Firebird Tracktop (black),Male Tors,Get this official adidas top now! [#Legal]
,,0CD10319-BF8140E7-8882FC95-27370ADB,1492797188_DAT,Soul Hunter Gloves (Male),Male Hands,These gloves come with their own spiked knuckles. [#Legal]
,,0CDDD7D5-64DB468B-B5F77F3D-C6B3832E,1048146006_DAT,"Slacks (Red Checked, Men)",Male Legs,Elegant pants with a red checked pattern. \nDefensive Strength: ★\nYouth Level: ★★★[#Legal]
,,0CEFCFBC-DDBA420A-ADC79D1F-F0C1944C,1229315555_DAT,Trickster Tights,Female Legs,"Tights with red and black animated stripes, under black shorts. [#Legal]"
,,0D070469-795A4504-90A00A6D-6115B15C,4174350982_DAT,Lady Death Scythe [Female],Female Hands,Reap souls in style with this exquisite scythe![#Legal]
,,0D07F8B4-1CFC448B-A5CDD6B1-C138AFB0,349101752_DAT,Snake Bite Heels,Female Feet,For that subtle hint of danger in your outfit...[#Legal]
,,0D0AA624-F78C43A3-81358DC4-A6F3E6CE,342905095_DAT,"Nekomata Ears (Black, Men)",Male HeadPhones,"The ears of the Nekomata yokai, said to be transformed from a house cat.nMononoke Level: ★★★[#Legal]"
,,0D0BD96C-75BC4890-913177BF-F0C3734A,316477232_DAT,GST - Street Dance,Animation,"Item that allows you to choose 6 types of gestures, including backflip, frontflip, headspin, scratch spin, backspin, and crouching roll.\n* GST (Gesture) is a portable item.[#Legal]"
,,0D0BEA4B-E5774263-A380DCBE-E09403A9,1822543137_DAT,Ryu Gi (bottom) - alternate,Male Legs,"Prenez-vous pour Ryu de Street Fighter IV avec ce bas de kimono alternatif. Combinez-le avec le haut et devenez le combattant ultime ! 　 　 　 　 　 　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　 Street Fighter IV © CAPCOM U.S.A., Inc.[#Legal]"
,,0D0DA7A9-A37842E6-BCFC50B0-C034A922,3760945878_DAT,Felicia's Ears - Black,Female Hair,Felicia is a classy feline with purr-fect fashion sense. Steal her style! [#Legal]
,,0D166843-0A6F4ADE-B1A0A39E-FABBD0B4,849883980_DAT,Cowboy Boots (Pink/Men),Male Feet,Male01_Feet_cowboy_06
,,0D16AB74-586F4917-907D03BE-52B72BE1,1428728306_DAT,Cropped Biker Jacket,Female Tors,
,,0D17B3A7-7F7145BD-B51C85C5-642A28ED,4027801816_DAT,Historical Gangster Pants,Female Legs,
,,0D1956CB-78094311-B58ACCBA-B7859F2D,4031688806_DAT,Domo Face Shirt Pink,Female Tors,A gentler version of Domo! [#Legal]
,,0D1AE15C-83F542B2-8C7EFF79-D7B16186,2438563721_DAT,"Lei that hangs around the neck (Pink, Women)",Female Tors,A tropical pink lei that hangs around the neck.\nDefensive Strength: ★\nSexiness: ★★★★\nTropicalness: ★★★[#Legal]
,,0D1B2407-4CF34F7C-B538833D-EAA6A7AD,3327369433_DAT,"Cowgirl Outfit Bottom (Brown, F)",Female Legs,A pair of brown leather trousers with the bottoms rolled up and stitched in place.[#Legal]
,,0D24BD86-ECBE49A3-8632884A-325E9BA2,2077312183_DAT,Love Struck Hearts,Male HeadPhones,Express yourself with an animated Emoticon [#Legal]
,,0D2593F5-8B6B4303-808E4F97-5291F8D2,96115607_DAT,LocoRoco T-shirt (Kulche/men's),Male Tors,乍看之下是普通的T恤，背面畫著樂克樂克的臉。可將你的背影妝點得十分可愛喔！\n\n購買本商品，便會在「樂克島嶼」個人空間追加一隻”樂克樂克”。「樂克島嶼」上最多可追加20隻”樂克樂克”。若達到最大數，便不會再被追加。[#Legal]
,,0D261560-B0E94608-B04F9CA9-5D619683,1528360281_DAT,Scorpio's Wristband Grade 3 (for Male),Male Hands,Show your dedication to Scorpio's with the Scorpio's Wristband - Grade Three achieved.
,,0D2C8F4E-98D84514-BF9D0533-68D96B2A,90972755_DAT,Black Halterneck Dress,Female Outfits,A metallic blue chevron pattern and a pink sash compliment this halterneck. Comes with an edgy Henna arm tattoo. [#Legal]
,,0D2D867C-1E2F4C74-9EEF6242-6CDFA24E,2867378347_DAT,White Blazer with Bikini Top (Female),Female Tors,"Taking care of business as usual in this white pinstripe blazer, it just so happens to be after a mid-day swim. [#Legal]"
,,0D34F53B-D41F4392-AC6CEF58-A4C638F3,2177744998_DAT,Lady Pink Purrfect Heeled Shoes,Female Feet,"Be bold and proud and stand out from the crowd in our range of body paint effects!  Get in touch with your inner artist and show off in unique style.... complete the look with the accessories and show your artistic flair, be Painted Bare! [#Legal]"
,,0D3692A0-C4D74DEE-A2B248FD-3FC29410,2888648765_DAT,The Walking Dead – Clementine’s Hat (Male),Male Hat,E3® 2013 Reward! [#Legal]
,,0D43462A-7C084058-B58F2696-27D19261,3603232555_DAT,Cowgirl Hotpants (Pink/Women),Female Legs,Female01_Legs_cowpants_06
,,0D477D8B-95CD48EC-966C0844-C9FCE8B0,2019758093_DAT,Wardrobe Wars - Backpack - Denim - Female,Female Hands,Female backpack with a denim motif. [#Legal]
,,0D4853F5-0C764860-A3586CF5-E1316669,3118008986_DAT,"Layered Vest (Brown, Men)",Male Tors,Two vests layered over a shirt.\nDefensive Strength: ★\nCoolness: ★★[#Legal]
,,0D488C23-E686458A-9FB4BE4C-B6145B9D,2911088449_DAT,Sports Champions 2 Wrist Bands (female),Female Hands,Become the ultimate Sports Champion with this awesome outfit! [#Legal]
,,0D4A17C9-5A0448C0-969C0C84-6D581F9B,3326247094_DAT,Skate Trainers - Sterling,Male Feet,"Like an underwater bullet, Delirious Squid is sleek and deadly. [#Legal]"
,,0D4E1FEC-840F4BF8-A9D9E876-96748827,4013057028_DAT,Twitter Screens,Minigame,
,,0D4E9016-BCFC4F5C-8F95D0D4-A250C9A0,1204995409_DAT,Cave Boots,Female Feet,"Sleek, sexy and designer. Boots for cavegirls are none of these. [#Legal]"
,,0D5764AC-E1F54940-833F72F2-6A084DE3,1455843751_DAT,inVerse Laceless Low Sneakers - Jolly Rodger - Male,Male Feet,The inVerse canvas Laceless Low sneaker is the perfect shoe to compliment any outfit. [#Legal]
,,0D64FF6A-EF8A4547-8930B5BA-6BAFF1DE,2957870325_DAT,Female High Fashion Right Earring #1,Female JewelRightEar,Les boucles d'oreille en perles sont les meilleures amies du mannequin. [#Legal]
,,0D66263F-742C46B4-BB588554-2D09E6FD,4163687430_DAT,Attitude Hairstyle - Magenta (for Male),Male Hair,"By popular demand, now guys can strut their stuff with Attitude too. [#Legal]"
,,0D675BCA-D51D4E6B-8E9304FA-0761F162,1831557403_DAT,干支シリーズ第二弾　卯グローブ（ピンク・女性用）,Female Hands,2011年の干支である卯をモチーフにした着ぐるみのグローブです。[#Legal]
,,0D797032-7F3A4A83-ABA2B4B3-7110442F,1468883496_DAT,1-Carat Diamond Ring (Men),Male Hands,"A small, 1-carat diamond ring that gives off a sophisticated look..[#Legal]"
,,0D79C679-5ADA400B-B381418F-9CB2F2EE,3063600220_DAT,Deathbringer (Women),Female Hands,A big sword with dark tribe power trapped inside. You can cultivate new type of this by advancing L-Project.\nThe effect of this item is to make new type as same as the deathscythe. [#Legal]
,,0D82DAAA-EE8243E5-A087A934-BB47859D,3098658007_DAT,Teleport,Other,Floating PlayStation®Network 3D animated logo
,,0D884B3A-E68D4A31-B975AE9E-608BF4F3,3150121388_DAT,Animal Avatars - Tiger,Locomotion,
,,0D887466-B8F549FF-AB235D4B-F85BAAB2,2289462858_DAT,"Poof Hairstyle with Ribbon (Blue, Female)",Female Hat,A poofy hairstyle brought together with a blue ribbon.\nDefensive Strength: ★[#Legal]
,,0D89B51F-F0024C23-87C84395-103BB150,1354083381_DAT,Blossom Fairy Wings (For Female),Female Hands,"In the battle of the wings will you fight for good, or for evil? (Hand item)[#Legal]"
,,0DA1B3E6-C4F143AC-9EDE55C3-AB694B2E,3040032286_DAT,"Lance and Shield with Gauntlet (Black, Men)",Male Hands,A large shield and cone-shaped lance with dark attributes.nAttacking Strength: ★★★-[#Legal]
,,0DA26D92-42584F9C-99659DF3-65CAE71B,3626266194_DAT,Long Curly Hair (Female),Female Hair,Long gorgeous locks of curly hair. [#Legal]
,,0DA707E2-E60C44AE-BC650E4E-4B30B370,3598667390_DAT,Grey and Black Stripe Knee Socks,Female Feet,Who needs shoes with socks as cute as this?! [#Legal]
,,0DAF6B85-564A40EB-B4A9AB7B-F2B63563,1423740963_DAT,About Dolphies (4),Minigame,
,,0DB4C5F4-F17A47A9-91F7C8B1-8DED4296,2585254785_DAT,Gem Dress,Female Tors,Mettez dessus votre robe de gemme et dansez les bleus! [#Legal]
,,0DB78522-B0994FBE-859F6607-9660C5F0,3191298844_DAT,Ravager Statue 1',Furniture,"Le Ravageur est une version hybride de Chimère bien plus imposante, dominant les soldats de plusieurs têtes. [#Legal]"
,,0DB8818E-8D5C47DB-8C7F3C91-B3F9A560,300641872_DAT,MyGym - Exercise Top - Female - Blue,Female Tors,Perfect for a training session on your MyGym Equipment. [#Legal]
,,0DBDD77E-43F141F4-BB26231F-04390A59,1837725982_DAT,Wampa Skin Rug,Furniture,The pelt of a carnivorous predatory reptomammal indigenous to the ice planet Hoth.  It'll really tie the room together.[#Legal]
,,0DD18761-8413459D-9D1E88D1-AFC845F6,1216210307_DAT,LittleBigPlanet™ Cap,Male Hat,LittleBigPlanet™ Badges Cap [#Legal]
,,0DD3D745-461C4C5E-87ECC4C2-8CB94015,2904512467_DAT,Darla's Darts Prize 1,Male Tors,Darla's Darts Prize 1
,,0DD7B9E3-C34249D0-A80BED17-F38B6ABC,3823481922_DAT,Superstar Neon Jacket - Blue &amp; Yellow,Male Tors,A neon jacket for a superstar DJ. [#Legal]
,,0DD99D21-C94C4F58-ADF2C989-C0C85EC0,275045196_DAT,Billabong - Akasha - Denim Shorts Dark,Female Legs,5 pocket denim cut-off short with heavy vintage &amp; worn details throughout. [#Legal]
,,0DE083B8-1D0A44DA-98605EB8-B1B2902D,3030745457_DAT,Spring Male Bunny Nose,Male Glasses,"Hmm, ça sent le chocolat! [#Legal]"
,,0DE3446E-ACD24A87-8A010602-727BFFF9,3613048775_DAT,Waterfall Terrace Large Wood Chest,Furniture,Robuste et décoratif. [#Legal]
,,0DE9DF0C-FFF74FED-B8C21E60-51ED68C0,2316543254_DAT,Valentine Boyfriend,Companion,"You'll always be seen in good company with this boyfriend companion! He will never let you down: he follows you everywhere, kneels down in admiration before you, applaudes you, and runs after you. Always by your side, he loves you so much that when he looks at you, little hearts fly up above his head! [#Legal]"
,,0DED7BD3-1273496E-87AC455F-90E0B258,1011573515_DAT,"Knit Cat Ear Cap (White, Men)",Male HeadPhones,A knit cap with two cat ear-like bumps attached.nCuteness: ★★[#Legal]
,,0DEE4DC8-968D45E0-9FE940B8-B6432296,4248002859_DAT,Innocent black shades.,Male Glasses,Jet Black shades. [#Legal]
,,0DEEA121-F26B46A3-9F276AF6-69044E2A,2058411190_DAT,Contrast Red and Black Gloves,Female Hands,"The Razor Collection brings you casual style with a cutting edge!  We bring you trousers, boots, tops and gloves!  Mix it or match it, the choice is yours, cohesion or clash, cut a dash in the Razor Collection! [#Legal]"
,,0DF02040-B82244D5-BDDFA5DF-FA653EF2,2350513284_DAT,Bootcut Slacks,Female Legs,
,,0DF21C20-2C094BFB-994D9CB9-098EFC3D,1902834665_DAT,JAM Games Sweater - Female,Female Tors,A free gift from JAM Games to help you cover up in the cold winter. [#Legal]
,,0DF2E68A-434A4FF4-A4B0975B-7D99C836,2508979994_DAT,Long Scarf Style (White/Women),Female Tors,A slim style with a long scarf. [#Legal]
,,0DF32B35-549A45F5-A8060B94-7D2A71E6,373866147_DAT,Ice skating,Locomotion,Put your skates on! Glide around Home Square with these ice-skates. [#Legal]
,,0DFD8B3D-BA41410F-A8E2EC05-BD78BB50,1742778538_DAT,"Surfing Shorts (Tiger, M)",Male Legs,"A pair of swimming trunks that goes down to the knees. Has a wild, tiger skin print.[#Legal]"
,,0DFFFE42-B3F34194-9E60AAB5-94834849,257927802_DAT,Racing Driver Boots,Male Feet,Évitez quand même d'avoir le pied trop lourd. [#Legal]
,,0E09B0A8-78FE47D1-B893F0A1-37A5262C,2689970553_DAT,Rockabilly Rose Tie-up Blouse - Red Gingham,Female Tors,"Turn up, tie up, rock out! [#Legal]"
,,0E104331-79194065-BD40CF4F-2EBCFB16,2080654819_DAT,Sweet Treats Furniture - Donut Chair,Furniture,Treat yourself to this sweet addition to your home with a delicious Donut Chair. [#Legal]
,,0E106E0B-DCB14AE5-B2A7EBD5-1C206F19,573085013_DAT,Vendetta,Minigame,Object Description
,,0E19FE4B-FA454ED6-8F8F5B9F-6A12193B,280461757_DAT,"Long Rifle and Gloves (Black Gloves, Men)",Male Hands,A rifle carried over the shoulder and finger-less gloves.nAttacking Strength: ★nSniping Ability: ★★★★[#Legal]
,,0E2885B0-7983459F-A4B0340C-9D78F843,1438883863_DAT,Dirtbike Gloves - Gold (Female),Female Hands,Protective gear for riding on a dirtbike. This will protect your hands. [#Legal]
,,0E2C7BB2-13C94F80-A16ED920-E5387C5B,4101787761_DAT,Agent 77 Bottom (Female),Female Legs,Keep your trusty gun within reach with this concealed leg holster and mini-skirt. [#Legal]
,,0E2D034F-F9514B2F-90DC5FA2-0EE44048,2611032510_DAT,"Gunfighter Boots (Black, Men)",Male Feet,Boots fitted at the ankle for an active lifestyle.\nDefensive Strength: ★★\nSniping Ability: ★-\nStylishness: ★★[#Legal]
,,0E30DC7A-4CBD4741-8302C300-B01DD9DC,3387346862_DAT,Sodium Techsuit Gloves - Black (for Male),Male Hands,Adapt to your environment with this super slick and functional attire. [#Legal]
,,0E339C2C-DD934EBD-B6BF7525-39BD511F,519612736_DAT,Frog Flinger Prize 8,Male Hat,Frog Flinger Prize 8 [#Legal]
,,0E3679AE-3BD3466E-9EB78F5C-49EB4F93,2821170583_DAT,Animated Poison Sword (Male),Male Hands,"Forged deep in the tropical rainforest, infused with toxin, a venomous liquid seeps from the blade. [#Legal]"
,,0E37BC43-90B1456F-ACACDD65-3ACE7B9A,4034049789_DAT,"Knit Cat Ear Cap, Large (White, Men)",Male HeadPhones,A knit cap with two cat ear-like bumps attached.\nCuteness: ★★[#Legal]
,,0E396661-E8CC4592-9BD01E73-38EF9E68,480806060_DAT,Hot Rod - Lowrider,Locomotion,
,,0E400C59-67074B60-BE556ABF-A57C1F37,1217131607_DAT,Bell Ringer Prize 2,Female Hands,Bell Ringer Prize 2 [#Legal]
,,0E455BF3-7F904E94-937CAA0A-BD29A8AC,3712816617_DAT,Soft Hinoki Stick (Men),Male Hands,Male01_Hands_sword_17_1
,,0E458F61-035643F3-94E91647-9BD01A0D,2772333294_DAT,Toombs Companion,Companion,Toombs MiniBot Companion [#Legal]
,,0E46C870-AE33492C-BFF5DD6E-D4BA65C2,453815787_DAT,Namco Museum™ Table Cabinet Stool,Furniture,TM &amp; Ⓒ 2009 NAMCO BANDAI Games Inc.
,,0E49E524-7A644C7D-99BF0C4F-5C797487,2232332882_DAT,"Celestial Sandals (Blue, Men)",Male Feet,Sandals with a star-shaped decoration on the straps.\nDefensive Strength: ★\nMagic Power: ★★★[#Legal]
,,0E4F1CD1-622E4873-BF4336BA-69238BAC,2505932066_DAT,Aoyama,Female Hair,
,,0E51BA74-D63B41DD-A1DA6EFF-CE5045FB,2902362245_DAT,Stan the Salesman Pants,Male Legs,Réfléchissez vite. J'ai cinq autres types qui viennent voir ces pantalons aujourd'hui. Je ne veux pas vous mettre la pression ! Mais je ne peux pas garantir qu'ils y seront encore quand vous reviendrez ! [#Legal]
,,0E5D7573-80FC45D0-A31E2F15-D74C1ABD,3464198271_DAT,Glow Spiral Earring - Green (for Female/Right Ear),Female JewelRightEar,If you have trouble spotting your friends in dark places gift them these dayglow earrings and you'll spot them a mile off! [#Legal]
,,0E6BE6FA-064A405E-97F9F678-F2470D7E,1648867362_DAT,"Sleeveless Parka (Pink, Women)",Female Tors,"A pink, sleeveless parka. Coordinate with a swimsuit for a casual look!  [#Legal]"
,,0E6CB91C-7FD34BC0-AA5C43D9-9E776C9F,1628385103_DAT,Grimace Grin Box Head (for Male),Male Hat,For the friend who has everything. [#Legal]
,,0E6D6670-D88C46DE-A79DCAD0-430ECB26,4176595382_DAT,"Half-rim Sunglasses (Black, Men)",Male Glasses,Black sunglasses with frames that go around just the top half of the lenses.[#Legal]
,,0E6EA36D-C12C4651-95B8F667-E01C4920,3121553138_DAT,Vest with Fingerless Gloves - Squid Cage (No Tattoos),Female Tors,"Punks, goths, skaters - all feel the warm embrace of the Squid's tentacles. [#Legal]"
,,0E6EE93B-C2A840A6-9F4D78D3-27A83444,1983936853_DAT,Glow Double Eyebrow Bar - Purple (for Male),Male JewelLeftEar,"Bright eyes, bright eyebrows! [#Legal]"
,,0E70AA14-3AAB445B-B6DD030E-73BD8533,3191392377_DAT,Fashion Corset - Hot Pink,Female Tors,"Striking and stylish, the fashion corset can be teamed with skirts, jeans, shorts or leggings for a feminine look night or day. [#Legal]"
,,0E79860D-95A947AF-B971A6EC-5388C1E9,3411113785_DAT,Cardboard Robot Costume (Male),Male Outfits,Cardboard Robot Costume (Male) [#Legal]
,,0E813487-1F884854-91B64DDB-515B0B2B,4026440907_DAT,"Treasure Earring (Pink Coral, Left Ear, Men)",Male JewelLeftEar,A precious stone created from burnishing pink coral until it shines with a soft luster.  For the left ear. (Mohs hardness: 4)[#Legal]
,,0E81594B-9FB74F88-A33E9748-BB924FB6,2665953157_DAT,Power-Mech Suit with Nebulon Magnet,Male Outfits,"Climb into this walking battle tank and take it anywhere! This suit includes a portable Nebulon Magnet, which can pull nearby nebulon towards a ship, making it easier to gather.  The Nebulon Magnet is automatically attached to all of your fighter ships if you own a Power-Mech Suit. [#Legal]"
,,0E81E83C-12274AFF-ABA1E4AC-8C9B8814,1377291579_DAT,Fat Princess™ Trophy,Other,This is a trophy rewarded from the PlayStation®Network Motion Maze game. [#Legal]
,,0E8A125F-03454478-BF5466D0-F8AD91AB,4102115124_DAT,Flashy Outerwear (Yellow/Men),Male Tors,紫のシャツの上にグレーのベスト、黄色いジャケットのセット。[#Legal]
,,0E8ECF27-B8E04ECD-890C4391-DD2F62F5,2176554754_DAT,Rusted Flooring,Furniture,
,,0E90314F-A6724400-92BDFB9C-F2156949,1175004446_DAT,"Lace-less Leather Shoes (White, Men)",Male Feet,White leather shoes without shoelaces.\nDefensive Strength: ★\nCoolness: ★★[#Legal]
,,0E992312-CADA40A5-BFD182E0-23C613D0,3451992891_DAT,Animated Dragon on Shoulder (Female),Female Tors,Your pet dragon Mythos is quite the fire breather. [#Legal]
,,0EA0AFD1-CD454B01-B8FB0FA5-8D779C76,1713660442_DAT,Zurg Logo T-shirt,Male Tors,Inspired by Zurg in Toy Story 3: The Video Game.
,,0EB0C7E3-6AA94A5E-A9E3EE6F-E88F9AF0,3462920989_DAT,Uncharted 3: Drake's Deception™ Para 9 Pistol (Male),Male Hands,"Challenge complete! Now get locked, loaded and ready to win more stuff! [#Legal]"
,,0EB0C7E3-6AA94A5E-A9E3EE6F-E88F9AF0,3462920989_DAT,Uncharted 3: Drake's Deception™ Para 9 Pistol (Male),Male Hands,"Challenge complete! Now get locked, loaded and ready to win more stuff! [#Legal]"
,,0EB91DB8-9FFC4EEC-B60DF72E-CE2676E6,3730187024_DAT,Crackle – Hoodie (Female),Female Tors,"Thank you for visiting the LOOT™ Space Station Theater. In celebration of the arrival of Crackle, PlayStation®Home's first FREE full-length Hollywood movie service, enjoy this exclusive Crackle Hoodie. For additional rewards, please enter the theater and watch free full-length movies, TV shows and the coolest collection of original series! Hint: Try to find Crackle’s popcorn bag, cap, movie themed t-shirts and posters! There are dozens of free sweet rewards waiting for you. Learn more about Crackle at www.crackle.com. [#Legal]"
,,0EBB3B77-869C4C0F-AD8C75EA-F93D1360,4181013176_DAT,Mr.Grimm's Mask,Male Hat,La soif d'âmes fraîches du Faucheur n'est jamais assouvie. Incarnez Mr. Grimm et chevauchez sa moto lors du tournoi Twisted Metal de Calypso. [#Legal]
,,0EBB8579-5E7F4E5C-8CD7278A-D7F86FF1,3593553913_DAT,Blinder Glasses (Male),Male Glasses,These are the best glasses of all time. Of all time! [#Legal]
,,0EBBD245-97D14740-978D2B7B-3AE6442D,1577091182_DAT,Billabong - Woodland Flannel - Royal,Male Tors,Tartan flannel shirt with a chest pocket. [#Legal]
,,0EBE01A3-5A214917-B56A5E04-81DEBF7D,2881334828_DAT,Survival Bomber,Minigame,
,,0EC03F39-743B42BA-8DF5E304-6B3235BD,1209634968_DAT,Batman Poster - Joker Face,Furniture,Poster of The Joker. [#Legal]
,,0EC203BE-397C4ACD-BD50011E-F780E056,161438116_DAT,Aurora Ship Outfit (Female),Female Outfits,Explore the world dressed as a Sky Skiff! [#Legal]
,,0ECA72BE-03454C93-8CE3743C-B0212D0E,106332652_DAT,Mysterious Lantern (male),Male Hands,This lantern is handy to carry to dark places. [#Legal]
,,0ED0148C-862E4846-BFB400D3-1E31A554,1757226325_DAT,AAA - Alice Cooper - Nurse Glasses,Female Glasses,Alice Cooper - Nurse Glasses [#Legal]
,,0EDCC89D-81C74AB7-9A6946A9-1DBEE54E,2331719740_DAT,Anime Mask 3,Female Hat,Anime Mask 3 [#Legal]
,,0EDF89F3-94DC486C-BF2BD9CC-ABCD4A25,2585590452_DAT,Drey Relaxed Blue Cotton Shirt with Inner Vest,Male Tors,"Show your relaxed side with this laid back shirt. The standing collar and vest add a modern edge, while the iconic golden button and logo tab create a sleek, stylish finish.\n\n Fabric: Relaxed cotton\n Care: Machine washable\n [#Legal]"
